Days ago,Date,Yield(Wh),Max. PV power(W),Max. PV voltage(V),Min. battery voltage(V),Max. battery voltage(V),Time in bulk(m),Time in absorption(m),Time in float(m),Last error,2nd last error,3rd last error,4th last error
0,7/27/26,140,58.00,22.31,12.70,14.18,362,60,23,0,0,0,0
1,7/26/26,330,111.00,22.50,12.62,14.18,530,71,155,0,0,0,0
2,7/25/26,560,157.00,21.56,12.47,14.16,595,168,0,0,0,0,0
3,7/24/26,550,150.00,20.66,12.28,14.17,654,106,0,0,0,0,0
4,7/23/26,620,173.00,20.58,12.08,14.10,785,0,0,0,0,0,0
5,7/22/26,280,137.00,19.93,11.97,13.33,648,0,0,0,0,0,0
6,7/21/26,370,153.00,20.84,11.86,13.58,579,0,0,0,0,0,0
7,7/20/26,550,183.00,21.06,5.85,13.67,689,0,0,0,0,0,0
8,7/19/26,0,0.00,7.31,6.09,7.34,0,0,0,0,0,0,0
9,7/18/26,0,0.00,7.35,6.43,7.39,0,0,0,0,0,0,0
10,7/17/26,0,0.00,7.58,6.82,7.63,0,0,0,0,0,0,0
11,7/16/26,0,0.00,7.69,7.21,7.75,0,0,0,0,0,0,0
12,7/15/26,0,0.00,7.72,6.07,7.79,0,0,0,0,0,0,0
13,7/14/26,0,0.00,9.48,6.25,9.62,0,0,0,0,0,0,0
14,7/13/26,0,0.00,10.98,9.28,11.25,0,0,0,0,0,0,0
15,7/12/26,0,0.00,11.46,11.24,11.57,0,0,0,0,0,0,0
16,7/11/26,0,0.00,11.61,11.56,11.74,0,0,0,0,0,0,0
17,7/10/26,0,0.00,11.87,11.73,11.87,0,0,0,0,0,0,0
18,7/9/26,0,0.00,12.13,11.86,11.99,0,0,0,0,0,0,0
19,7/8/26,140,31.00,21.56,11.98,12.67,438,0,0,0,0,0,0
20,7/7/26,200,32.00,21.19,12.02,12.71,770,0,0,0,0,0,0
21,7/6/26,140,37.00,21.40,12.06,12.90,760,0,0,0,0,0,0
22,7/5/26,190,42.00,21.50,12.13,13.02,737,0,0,0,0,0,0
23,7/4/26,170,30.00,21.59,12.19,12.83,734,0,0,0,0,0,0
24,7/3/26,220,32.00,21.62,12.25,12.92,768,0,0,0,0,0,0
25,7/2/26,110,19.00,21.33,12.30,12.58,712,0,0,0,0,0,0
26,7/1/26,60,25.00,21.11,12.36,12.71,673,0,0,0,0,0,0
27,6/30/26,100,21.00,20.95,12.45,12.71,667,0,0,0,0,0,0
28,6/29/26,300,135.00,20.98,12.57,14.14,612,112,0,0,0,0,0
29,6/28/26,400,129.00,20.68,12.61,14.14,543,60,170,0,0,0,0
30,6/27/26,480,119.00,20.91,12.65,14.14,533,60,196,0,0,0,0
